850
582	2897	-264
584	2897	578
582	2996	-804
3441	2761	-825
1445	2909	339
3431	2624	-291
1781	2088	646
1431	2909	-163
1840	2088	-717
1466	4014	-366
1503	1350	467
2076	3784	-526
2076	3792	622
2093	3769	513
4066	273	-463
3702	2789	-344
3714	2789	340
3837	1329	-800
3837	1401	-216
4075	273	-276
1655	1472	-622
2951	17	-322
607	2342	-526
3888	3106	-389
2026	2588	-193
3881	3113	-515
2007	2588	157
891	3375	556
921	3375	120
284	1349	552
1404	2729	354
281	1349	771
131	1554	394
4002	464	191
3801	2776	826
3801	2757	-368
3940	2776	375
3940	3091	639
3960	2739	-711
3967	464	-751
3707	1734	752
3707	1742	-316
3791	1707	162
3661	271	626
3802	271	-5
604	2996	156
262	774	-850
539	2996	-77
539	3039	501
3072	2337	780
3072	2359	-257
955	408	689
955	431	836
988	312	778
2964	3905	787
2262	3069	94
2335	3069	53
2215	3082	-524
2215	3086	371
97	1742	-676
123	1742	506
1841	3943	65
2964	3921	79
1793	3902	514
1814	3902	-19
3266	3469	49
3266	3481	-149
3943	209	-354
3197	3460	-700
3220	3469	-762
3220	3314	297
1322	2012	-214
1328	2012	644
3450	1115	-115
3450	1119	-426
3495	1005	162
3498	1005	-628
3387	707	-395
1069	312	762
1069	309	543
2566	3112	-436
413	1360	541
1747	537	-802
563	298	-623
2929	1534	541
1740	2015	599
2889	1446	-438
2903	1446	830
3313	2600	-488
3065	941	-379
3309	2788	553
3313	2788	-296
3268	2800	376
3309	2800	514
2894	3825	327
257	3109	163
2863	3825	283
2863	3857	461
257	3101	34
1779	1851	840
1779	1823	-166
3354	1392	417
2076	2767	-223
2076	2960	-267
2035	2748	494
2066	2748	-70
2253	232	143
3326	1392	208
2137	215	-433
2226	215	306
1753	2331	583
2100	3769	-357
2002	3482	-663
2100	3482	426
2103	1174	652
2171	1174	354
3266	3493	543
3052	941	-606
2932	3493	804
1976	1901	-400
3221	2340	616
1976	1896	-726
639	226	-316
2711	926	296
3358	1831	-343
2653	869	-451
2661	869	615
1502	235	-147
3381	1831	-488
1568	235	-232
1767	2020	-218
1568	381	-583
1740	2020	462
1805	381	-72
1744	681	535
1656	3629	427
1769	678	-834
1798	678	410
2975	941	526
2975	991	-393
2979	934	-49
2992	934	762
3568	1759	-103
3568	1817	-121
3559	1723	-154
2512	3112	-539
670	1301	706
670	1231	-52
3577	2791	61
3685	2736	-758
2512	3111	595
2475	3111	-214
2968	1663	-739
2968	1640	-451
1678	748	-13
4016	906	270
4031	906	-619
1139	2100	467
1728	737	108
1705	737	842
1139	2114	-223
2067	4080	130
1503	1273	679
1705	748	760
2324	1835	-520
1556	851	-684
1574	851	503
3152	3130	-292
2592	3460	213
1124	306	-637
2278	280	-693
3512	2857	21
3512	2791	518
2253	280	-138
990	2390	690
1018	2390	-197
940	2390	-598
3834	459	510
3174	157	-828
3796	499	651
3834	499	-576
58	389	-721
59	389	-548
1747	3635	-460
782	3364	643
1656	3635	-773
782	3344	-713
3170	1610	58
708	3344	237
3207	1610	604
69	3847	-515
3102	1610	805
3102	1612	-397
1247	2012	-603
1202	2016	172
1202	2082	-648
3278	1177	-174
3405	1177	315
3098	1182	-73
3626	1742	-458
3643	1460	-14
2988	312	412
3101	321	254
3575	1460	-799
3296	1065	7
656	597	-491
3290	1065	-291
3290	1118	836
710	552	-698
305	862	-486
305	714	121
2354	2598	845
2395	2598	-786
2711	3921	-826
609	3015	-708
3575	1557	-26
604	3015	-348
609	3018	-641
3519	1555	-376
3545	1557	-311
2989	547	603
2989	447	-663
2989	720	-22
1867	2384	-839
87	394	452
1820	2385	636
1867	2385	610
708	3179	360
87	331	58
686	3127	-331
701	3127	246
3311	746	-664
59	331	-827
3297	760	84
3010	17	-209
3579	912	-394
3579	947	469
300	2636	592
300	2673	-162
2522	1539	-194
2531	1539	483
2513	1546	-647
3010	0	-554
1320	2909	746
557	1614	-444
2728	3531	-753
1316	2909	374
2025	1789	-4
1316	2944	-708
2025	1901	-495
515	2342	-706
1312	2944	535
1312	2855	330
515	2319	-676
2530	2910	-408
1723	3092	749
864	1212	192
1723	3058	-121
51	389	744
2766	249	846
2916	287	-572
2916	312	-93
51	371	-234
2789	1607	-522
2813	1656	226
2813	1657	84
786	560	-833
786	598	-793
834	470	840
868	470	-837
3943	185	728
4058	185	-638
4058	207	223
4075	207	599
3417	608	-263
1048	2123	504
3408	663	-826
3408	707	657
3359	2600	793
3363	2600	-589
1423	2899	-786
1445	2899	-448
1423	2876	152
1391	1936	318
1412	1936	86
1328	1971	-537
1048	2114	-849
3269	1944	694
1906	2384	-17
3255	1948	-228
3255	1950	365
3671	1868	-846
3676	1868	-623
3822	1902	768
1398	1580	-7
1414	1580	-736
1398	1756	-450
3936	2326	-145
1906	2436	570
639	704	-701
639	713	609
669	704	221
3152	3342	144
731	704	789
731	763	361
3574	3462	254
3602	3462	523
860	872	-239
3574	3487	-258
1017	2267	273
1017	2166	350
1018	2267	-575
821	872	227
1066	1825	633
1066	1985	-53
821	893	194
2827	1004	-202
2827	999	343
780	598	-95
2000	2076	467
2005	2076	-693
1679	1251	18
780	597	-365
1656	1268	29
1656	1273	-765
686	3102	70
636	3058	559
685	3058	-684
26	134	-131
26	371	460
632	1414	-113
632	1431	-29
681	1414	426
710	597	-273
2085	3999	-461
2253	249	-565
3410	1686	461
586	2879	-469
1798	665	379
3291	1535	-607
3327	1535	696
3222	1535	-404
2592	3131	-825
584	2879	736
2571	3123	107
2578	3123	-621
3881	3305	845
3979	3305	37
602	713	-482
3835	3340	139
602	712	785
3799	3352	275
2645	730	-100
1744	720	382
1603	3756	147
1603	3789	362
1728	720	-751
2556	249	-281
2556	236	817
1745	610	-459
676	415	706
722	415	-819
3327	1542	-631
676	552	-459
2381	2355	-377
1744	610	387
2295	2355	303
2545	1498	-763
1728	3088	-432
1728	3092	-221
1416	1756	-617
1416	1757	767
1320	1756	-828
1320	1776	-788
3222	2026	-828
3238	2026	-263
2545	1438	644
3159	1230	266
3170	1230	-626
3236	1232	-439
3236	1234	-520
2017	2437	543
2035	2696	-738
2026	2696	377
1994	2436	-780
2016	2437	555
3101	974	391
2894	3799	-398
2940	3799	-102
2940	3905	-769
3113	2114	-662
3113	2129	-384
1252	1584	365
1252	1733	598
1143	880	-90
1149	880	695
794	893	-496
786	817	566
794	817	-757
225	3497	-258
225	3498	-789
1629	1791	-125
1629	1800	-99
1482	1788	-130
1619	1788	-456
3065	974	-70
3157	0	-348
3194	79	-252
2940	999	392
2129	3833	-796
2940	991	-201
2069	3833	-794
2069	3792	-235
544	323	709
563	323	354
2092	2266	463
2941	1662	252
2016	2277	614
3440	3487	143
2941	1659	598
3440	3481	348
4030	2538	622
4033	2538	231
4049	2566	257
2929	1577	482
1423	3104	-692
1449	3104	399
1550	3104	47
3602	3443	-275
2927	1577	232
1418	2621	104
1418	2654	9
3146	157	-274
3986	2503	111
3986	2468	144
3146	447	842
3101	363	421
3146	363	498
679	284	-422
2502	249	538
2040	1788	-294
2927	1659	-781
1308	2834	-520
1308	2855	-717
2626	1446	434
2678	1446	7
2682	1565	-678
2682	1567	-672
2137	201	826
2927	1657	808
3357	1289	181
3360	1289	773
3326	1297	-345
1086	2114	-225
1034	835	547
1086	1985	437
1755	438	223
1034	867	-768
1775	429	-670
1658	3083	107
1636	3127	564
1724	429	192
1658	3058	259
1724	438	-783
3101	991	-393
3103	991	-527
3120	1002	497
3360	1249	799
2485	3017	-831
2566	3017	-518
2453	3040	166
3329	1249	-170
3329	1234	294
3569	3933	455
2059	3272	-715
3626	1759	303
2171	3272	588
2171	3198	424
3266	3502	741
1820	2331	470
3582	1759	226
1788	2331	826
3582	1817	512
442	1391	-385
3958	2295	-845
3960	2437	-148
3960	2468	835
2528	1901	221
2615	1901	454
69	3865	338
130	3865	-12
130	3897	785
430	1391	796
586	2808	-607
3085	2359	74
1320	2876	-114
3085	2355	-213
3157	2337	251
3009	720	-405
67	3290	-157
67	3352	141
77	3272	-132
82	3272	359
1949	1158	789
1996	1158	822
1836	1158	21
55	3608	-130
55	3519	-248
3086	2355	756
57	3608	392
57	3847	-130
142	3123	259
142	3229	-482
143	3109	-274
3086	2337	212
500	2628	-243
3405	1119	-687
605	2628	346
3297	969	178
2061	4035	-469
2067	4035	306
2473	24	-437
3296	969	-256
3207	1645	-358
3259	1645	-363
3410	1651	-180
1404	2654	-780
3526	947	461
3155	1117	740
3498	961	-286
3155	1100	-709
3139	1100	-236
3982	3340	-363
3250	2501	266
3250	2485	31
3407	2501	-197
3407	2506	-444
3363	2501	-683
681	2344	-105
991	3516	-424
1194	3516	88
607	2344	610
2318	1772	-594
2210	3700	379
2210	3755	-32
636	1153	41
681	2352	294
567	1103	261
616	1103	-99
500	2605	590
247	698	637
247	774	18
2779	3508	291
350	2196	654
350	2313	254
1805	378	-332
2706	3514	575
1775	411	121
1805	411	47
1721	1948	216
1721	2015	-249
2706	3531	-783
3436	2223	738
3436	2232	-690
442	1462	-617
2779	3531	695
480	1451	238
2295	2224	-91
2210	3065	481
2215	3065	737
547	1451	-133
2210	2960	497
1488	1374	-164
1488	1404	-554
1414	1374	269
547	1431	-183
1363	1374	524
868	431	65
501	948	483
2758	1607	360
2758	1567	-728
501	928	-556
2038	387	428
2038	382	331
2278	387	-195
1029	2123	402
205	1637	-140
205	1683	-437
208	1630	34
228	1630	165
1029	2166	321
1030	1111	-827
1698	1800	207
3221	3309	-324
3221	3314	-236
609	3854	-103
609	3857	247
366	960	-123
427	960	-724
348	940	700
366	940	168
452	712	680
1698	1806	-527
3950	2295	559
3158	2152	-391
3157	2257	835
3950	2326	-341
3158	2254	345
3358	1838	338
3337	1838	-195
1082	835	-605
2741	3890	631
3299	1944	252
2741	3921	-770
3299	1888	109
2781	3890	-697
2781	3942	809
3337	1888	-395
3979	3340	156
1482	1771	239
2950	1662	287
2950	1663	-838
1631	3441	-361
1636	3441	-53
636	3018	-366
1636	3475	797
1656	3475	785
332	3101	-296
332	3078	-295
340	3857	404
340	3900	-154
3194	99	809
3174	99	-231
435	3078	-332
2992	922	146
3052	837	601
3052	922	-845
641	1185	178
2453	3060	-7
636	1185	407
2453	2993	-802
2475	3060	-659
641	1301	822
567	960	-80
427	928	587
542	960	368
2465	1672	527
1320	2831	97
1324	2831	278
2473	1672	562
2473	1618	-246
2513	1618	-395
1324	2729	-543
3572	1853	-815
3572	1817	-54
4004	559	453
3671	1853	465
4002	559	62
3191	2360	667
3221	2360	101
2626	1425	-756
3191	2387	-34
3196	2387	463
2552	1438	60
1996	1168	-138
2103	1168	-626
2552	1425	-569
1166	2082	99
1166	2100	64
1097	835	847
1097	845	188
2571	3114	340
2420	2568	135
2381	2535	-197
2420	2535	367
2354	2568	848
2566	3114	157
3967	459	-349
